datetime,pm2_5,o3,wdird,hum,wspdm,tempm,pressurem,sunhours
15-08-2014 00:00,21.41666667,24.41666667,80,78,7.2,21,1006,13.77506657
15-08-2014 01:00,24.33333333,22.41666667,0,88,0,20,1006,13.77506657
15-08-2014 02:00,27.41666667,20.08333333,290,77,3.6,21,1006,13.77506657
15-08-2014 03:00,28.75,22.25,350,88,7.2,19,1006,13.77506657
15-08-2014 04:00,24.33333333,24.5,0,94,3.6,18,1006,13.77506657
15-08-2014 05:00,21.25,16.16666667,220,81,3.6,19,1007,13.77506657
15-08-2014 07:00,36.75,15.25,0,88,3.6,21,1008,13.77506657
15-08-2014 08:00,57.75,17.83333333,290,59,3.6,24,1008,13.77506657
15-08-2014 10:00,72.91666667,74.58333333,0,61,3.6,27,1008,13.77506657
15-08-2014 11:00,43.83333333,97.91666667,40,40,7.2,28,1007,13.77506657
15-08-2014 13:00,21.75,132.8333333,0,33,3.6,32,1006,13.77506657
15-08-2014 15:00,22.5,169,130,33,10.8,32,1005,13.77506657
15-08-2014 16:00,30,202.75,150,33,10.8,32,1005,13.77506657
15-08-2014 17:00,36.58333333,210.4166667,180,33,10.8,30,1005,13.77506657
15-08-2014 18:00,26,178.5833333,170,65,7.2,24,1005,13.77506657
15-08-2014 19:00,28.66666667,154.4166667,0,73,3.6,23,1005,13.77506657
15-08-2014 20:00,30.33333333,134.8333333,200,43,7.2,27,1006,13.77506657
15-08-2014 21:00,33.83333333,110.4166667,0,83,3.6,22,1006,13.77506657
15-08-2014 22:00,38.66666667,83.16666667,80,83,7.2,22,1007,13.77506657
15-08-2014 23:00,41.41666667,70,70,56,3.6,25,1007,13.77506657
16-08-2014 00:00,40.25,59.5,100,78,10.8,23,1007,13.73667066
16-08-2014 01:00,45.75,38.75,0,78,3.6,22,1007,13.73667066
16-08-2014 02:00,51.83333333,32.66666667,0,73,3.6,22,1007,13.73667066
16-08-2014 03:00,54.25,38.16666667,360,88,7.2,20,1007,13.73667066
16-08-2014 04:00,55.83333333,39.83333333,360,83,7.2,21,1008,13.73667066
16-08-2014 05:00,48.91666667,50.08333333,40,78,3.6,22,1008,13.73667066
16-08-2014 06:00,41.58333333,44.66666667,350,83,7.2,20,1008,13.73667066
16-08-2014 07:00,38.58333333,42.66666667,0,83,0,22,1009,13.73667066
16-08-2014 08:00,36.58333333,49.83333333,20,53,7.2,25,1009,13.73667066
16-08-2014 09:00,35.16666667,69,20,61,7.2,26,1009,13.73667066
16-08-2014 10:00,43.16666667,94.5,0,48,3.6,29,1009,13.73667066
16-08-2014 11:00,54.66666667,129.3333333,90,52,7.2,29,1009,13.73667066
16-08-2014 12:00,51.66666667,187.8333333,0,46,3.6,31,1008,13.73667066
16-08-2014 13:00,46,210.6666667,0,46,3.6,32,1008,13.73667066
16-08-2014 14:00,39.08333333,216.0833333,90,35,7.2,32,1007,13.73667066
16-08-2014 15:00,36.91666667,222.0833333,170,36,10.8,33,1006,13.73667066
16-08-2014 17:00,62.75,250.5,200,31,7.2,32,1006,13.73667066
16-08-2014 18:00,61.91666667,227.75,160,46,10.8,31,1006,13.73667066
16-08-2014 19:00,68.58333333,216.4166667,140,58,7.2,28,1006,13.73667066
16-08-2014 20:00,78.91666667,196.75,70,50,3.6,28,1007,13.73667066
16-08-2014 21:00,85.5,157.75,130,73,3.6,24,1007,13.73667066
16-08-2014 22:00,92.41666667,122.9166667,120,69,7.2,26,1008,13.73667066
16-08-2014 23:00,97.91666667,102.6666667,90,56,7.2,27,1008,13.73667066
17-08-2014 00:00,116.9166667,98.75,120,83,10.8,25,1008,13.69798346
17-08-2014 01:00,145.4166667,91.33333333,110,78,7.2,25,1008,13.69798346
17-08-2014 02:00,111.25,106.75,250,46,14.4,25,1008,13.69798346
17-08-2014 03:00,55.16666667,114.6666667,130,78,10.8,22,1008,13.69798346
17-08-2014 04:00,51.16666667,101,160,69,18,23,1009,13.69798346
17-08-2014 05:00,43.75,110,160,51,14.4,24,1010,13.69798346
17-08-2014 06:00,40,111,20,83,7.2,20,1011,13.69798346
17-08-2014 07:00,37.08333333,101.5,0,73,3.6,23,1010,13.69798346
17-08-2014 09:00,39.41666667,104.4166667,20,65,10.8,25,1010,13.69798346
17-08-2014 10:00,42,109.8333333,10,58,7.2,27,1010,13.69798346
17-08-2014 11:00,41.5,126.8333333,110,44,7.2,28,1010,13.69798346
17-08-2014 12:00,40.66666667,143.8333333,0,45,7.2,30,1010,13.69798346
17-08-2014 13:00,36.75,161.0833333,160,45,10.8,30,1010,13.69798346
17-08-2014 14:00,37.91666667,191.25,200,35,10.8,29,1009,13.69798346
17-08-2014 15:00,39.66666667,200.8333333,160,43,18,30,1009,13.69798346
17-08-2014 16:00,34.58333333,201.5,150,43,10.8,30,1009,13.69798346
17-08-2014 17:00,29.33333333,193.6666667,200,33,7.2,29,1010,13.69798346
